/bin/sh: 1: sox: not found
SoX could not be found!

    If you do not have SoX, proceed here:
     - - - http://sox.sourceforge.net/ - - -

    If you do (or think that you should) have SoX, double-check your
    path variables.

/home/vikashan_technologie/m32/venv-qwen/lib/python3.12/site-packages/accelerate/accelerator.py:529: UserWarning: `log_with=tensorboard` was passed but no supported trackers are currently installed.
  warnings.warn(f"`log_with={log_with}` was passed but no supported trackers are currently installed.")
`torch_dtype` is deprecated! Use `dtype` instead!

********
Warning: flash-attn is not installed. Will only run the manual PyTorch version. Please install flash-attn for faster inference.
********

Epoch 0 | Step 0 | Loss: 12.2745
Epoch 0 | Step 10 | Loss: 11.5630
Epoch 0 | Step 20 | Loss: 11.2841
Epoch 0 | Step 30 | Loss: 9.3347
Epoch 0 | Step 40 | Loss: 8.0121
Epoch 0 | Step 50 | Loss: 8.2394
Epoch 0 | Step 60 | Loss: 8.2524
Epoch 0 | Step 70 | Loss: 7.6706
Epoch 0 | Step 80 | Loss: 7.4121
Epoch 0 | Step 90 | Loss: 5.9026
Epoch 0 | Step 100 | Loss: 6.3284
Epoch 0 | Step 110 | Loss: 5.8954
Epoch 0 | Step 120 | Loss: 4.8878
Epoch 0 | Step 130 | Loss: 5.3676
Epoch 0 | Step 140 | Loss: 4.9362
Epoch 0 | Step 150 | Loss: 4.5586
Epoch 0 | Step 160 | Loss: 4.7584
Epoch 0 | Step 170 | Loss: 5.0381
Epoch 0 | Step 180 | Loss: 4.5329
Epoch 0 | Step 190 | Loss: 4.9377
Epoch 0 | Step 200 | Loss: 4.1979
Epoch 0 | Step 210 | Loss: 4.2838
Epoch 0 | Step 220 | Loss: 4.3043
Epoch 0 | Step 230 | Loss: 4.5399
Epoch 0 | Step 240 | Loss: 4.6972
Epoch 0 | Step 250 | Loss: 4.0171
Epoch 0 | Step 260 | Loss: 3.9597
Epoch 0 | Step 270 | Loss: 3.8863
Epoch 0 | Step 280 | Loss: 3.9417
Epoch 0 | Step 290 | Loss: 4.0256
Epoch 0 | Step 300 | Loss: 3.9889
Epoch 0 | Step 310 | Loss: 3.9147
Epoch 0 | Step 320 | Loss: 4.8145
Epoch 0 | Step 330 | Loss: 3.6839
Epoch 0 | Step 340 | Loss: 4.1395
Epoch 0 | Step 350 | Loss: 3.6858
Epoch 0 | Step 360 | Loss: 3.6767
Epoch 0 | Step 370 | Loss: 3.5863
Epoch 0 | Step 380 | Loss: 3.8757
Epoch 0 | Step 390 | Loss: 3.9626
Epoch 0 | Step 400 | Loss: 3.5705
Epoch 0 | Step 410 | Loss: 3.8221
Epoch 0 | Step 420 | Loss: 3.5352
Epoch 0 | Step 430 | Loss: 4.1684
Epoch 0 | Step 440 | Loss: 3.7848
Epoch 0 | Step 450 | Loss: 3.9719
Epoch 0 | Step 460 | Loss: 3.8757
Epoch 0 | Step 470 | Loss: 4.0927
Epoch 0 | Step 480 | Loss: 3.5994
Epoch 0 | Step 490 | Loss: 3.7531
Epoch 0 | Step 500 | Loss: 4.0361
Epoch 0 | Step 510 | Loss: 3.6564
Epoch 0 | Step 520 | Loss: 3.4272
Epoch 0 | Step 530 | Loss: 3.9755
Epoch 0 | Step 540 | Loss: 4.0890
Epoch 0 | Step 550 | Loss: 4.0901
Epoch 0 | Step 560 | Loss: 4.0871
Epoch 0 | Step 570 | Loss: 3.8561
Epoch 0 | Step 580 | Loss: 3.6755
Epoch 0 | Step 590 | Loss: 3.6540
Epoch 0 | Step 600 | Loss: 3.6250
Epoch 0 | Step 610 | Loss: 4.1331
Epoch 0 | Step 620 | Loss: 3.2789
Epoch 0 | Step 630 | Loss: 3.7411
Epoch 0 | Step 640 | Loss: 3.6368
Epoch 0 | Step 650 | Loss: 3.7085
Epoch 0 | Step 660 | Loss: 3.6580
Epoch 0 | Step 670 | Loss: 3.7317
Epoch 0 | Step 680 | Loss: 3.6227
Epoch 0 | Step 690 | Loss: 3.7995
Epoch 0 | Step 700 | Loss: 3.5190
Epoch 0 | Step 710 | Loss: 3.8906
Epoch 0 | Step 720 | Loss: 3.7524
Epoch 0 | Step 730 | Loss: 3.6541
Epoch 0 | Step 740 | Loss: 3.8499
Epoch 0 | Step 750 | Loss: 3.7758
Epoch 0 | Step 760 | Loss: 3.5274
Epoch 0 | Step 770 | Loss: 3.7927
Epoch 0 | Step 780 | Loss: 4.1433
Epoch 0 | Step 790 | Loss: 4.1070
Epoch 0 | Step 800 | Loss: 3.4449
Epoch 0 | Step 810 | Loss: 3.6841
Epoch 0 | Step 820 | Loss: 3.7610
Epoch 0 | Step 830 | Loss: 3.7063
Epoch 0 | Step 840 | Loss: 3.4682
Epoch 0 | Step 850 | Loss: 3.7523
Epoch 0 | Step 860 | Loss: 3.5973
Epoch 0 | Step 870 | Loss: 3.8379
Epoch 0 | Step 880 | Loss: 3.5285
Epoch 0 | Step 890 | Loss: 3.6343
Epoch 0 | Step 900 | Loss: 4.0473
Epoch 0 | Step 910 | Loss: 3.5997
Epoch 0 | Step 920 | Loss: 3.3420
Epoch 0 | Step 930 | Loss: 3.6172
Epoch 0 | Step 940 | Loss: 3.9736
Epoch 0 | Step 950 | Loss: 3.2443
Epoch 0 | Step 960 | Loss: 3.7320
Epoch 0 | Step 970 | Loss: 3.5139
Epoch 0 | Step 980 | Loss: 3.7231
Epoch 0 | Step 990 | Loss: 3.8318
Epoch 1 | Step 0 | Loss: 3.9527
Epoch 1 | Step 10 | Loss: 3.9660
Epoch 1 | Step 20 | Loss: 3.6499
Epoch 1 | Step 30 | Loss: 3.5267
Epoch 1 | Step 40 | Loss: 4.0774
Epoch 1 | Step 50 | Loss: 3.5224
Epoch 1 | Step 60 | Loss: 3.4649
Epoch 1 | Step 70 | Loss: 3.7673
Epoch 1 | Step 80 | Loss: 4.0099
Epoch 1 | Step 90 | Loss: 3.9013
Epoch 1 | Step 100 | Loss: 3.6883
Epoch 1 | Step 110 | Loss: 3.5671
